order_item_id,order_id,product_id,quantity,unit_price
OI0000001,O000001,P0081,2,12500
OI0000002,O000001,P0003,1,12600
OI0000003,O000001,P0014,5,11900
OI0000004,O000002,P0019,1,21400
OI0000005,O000002,P0029,1,30000
OI0000006,O000002,P0030,7,5600
OI0000007,O000002,P0050,3,6900
OI0000008,O000003,P0088,2,22000
OI0000009,O000003,P0063,3,7300
OI0000010,O000003,P0015,4,28900
OI0000011,O000003,P0014,5,11900
OI0000012,O000004,P0047,2,19500
OI0000013,O000005,P0068,6,25800
OI0000014,O000005,P0077,3,10800
OI0000015,O000005,P0087,7,11200
OI0000016,O000005,P0020,5,9600
OI0000017,O000006,P0064,6,19400
OI0000018,O000006,P0034,2,24900
OI0000019,O000006,P0001,3,12300
OI0000020,O000007,P0093,8,23000
OI0000021,O000007,P0009,2,20100
OI0000022,O000007,P0074,7,15100
OI0000023,O000007,P0094,5,19100
OI0000024,O000008,P0024,7,17500
OI0000025,O000008,P0046,6,11000
OI0000026,O000009,P0078,6,15900
OI0000027,O000009,P0018,4,7200
OI0000028,O000009,P0050,7,6900
OI0000029,O000009,P0071,8,19500
OI0000030,O000010,P0030,7,5600
OI0000031,O000010,P0011,7,7300
OI0000032,O000010,P0068,4,25800
OI0000033,O000010,P0090,2,14800
OI0000034,O000010,P0031,6,6900
OI0000035,O000011,P0047,8,19500
OI0000036,O000012,P0047,3,19500
OI0000037,O000012,P0038,8,7300
OI0000038,O000012,P0019,7,21400
OI0000039,O000013,P0096,3,7800
OI0000040,O000014,P0094,1,19100
OI0000041,O000014,P0090,7,14800
OI0000042,O000014,P0048,1,22700
OI0000043,O000014,P0090,2,14800
OI0000044,O000015,P0021,1,18100
OI0000045,O000015,P0019,6,21400
OI0000046,O000015,P0019,2,21400
OI0000047,O000015,P0032,2,20900
OI0000048,O000015,P0002,7,18800
OI0000049,O000016,P0096,5,7800
OI0000050,O000016,P0061,7,5300
OI0000051,O000017,P0037,2,16100
OI0000052,O000018,P0078,3,15900
OI0000053,O000019,P0088,8,22000
OI0000054,O000019,P0071,5,19500
OI0000055,O000019,P0074,5,15100
OI0000056,O000019,P0091,4,18200
OI0000057,O000020,P0067,7,24800
OI0000058,O000021,P0008,4,16800
OI0000059,O000021,P0051,3,13700
OI0000060,O000021,P0096,2,7800
OI0000061,O000021,P0089,8,7300
OI0000062,O000021,P0062,6,12000
OI0000063,O000022,P0083,7,26000
OI0000064,O000022,P0025,5,5400
OI0000065,O000022,P0014,2,11900
OI0000066,O000023,P0004,4,26300
OI0000067,O000023,P0037,3,16100
OI0000068,O000023,P0070,2,15900
OI0000069,O000024,P0025,4,5400
OI0000070,O000024,P0082,1,15800
OI0000071,O000024,P0031,5,6900
OI0000072,O000025,P0062,1,12000
OI0000073,O000025,P0007,6,16000
OI0000074,O000025,P0012,5,12600
OI0000075,O000025,P0002,6,18800
OI0000076,O000025,P0097,5,27000
OI0000077,O000026,P0093,6,23000
OI0000078,O000026,P0017,2,12500
OI0000079,O000026,P0043,7,20300
OI0000080,O000026,P0095,2,19500
OI0000081,O000027,P0062,1,12000
OI0000082,O000027,P0038,3,7300
OI0000083,O000027,P0020,8,9600
OI0000084,O000027,P0011,2,7300
OI0000085,O000028,P0099,3,7400
OI0000086,O000028,P0065,6,23200
OI0000087,O000029,P0080,7,12300
OI0000088,O000029,P0006,7,18800
OI0000089,O000029,P0031,4,6900
OI0000090,O000030,P0081,8,12500
OI0000091,O000030,P0013,1,25800
OI0000092,O000030,P0019,5,21400
OI0000093,O000030,P0071,2,19500
OI0000094,O000030,P0064,2,19400
OI0000095,O000031,P0021,2,18100
OI0000096,O000031,P0036,6,19800
OI0000097,O000031,P0046,2,11000
OI0000098,O000032,P0034,8,24900
OI0000099,O000032,P0033,8,20600
OI0000100,O000032,P0084,3,8800
OI0000101,O000032,P0016,8,13800
OI0000102,O000033,P0053,3,14700
OI0000103,O000033,P0057,6,8900
OI0000104,O000033,P0066,6,8800
OI0000105,O000033,P0048,2,22700
OI0000106,O000034,P0080,1,12300
OI0000107,O000035,P0020,2,9600
OI0000108,O000036,P0010,4,23100
OI0000109,O000036,P0050,8,6900
OI0000110,O000036,P0086,2,15300
OI0000111,O000036,P0045,8,11200
OI0000112,O000037,P0014,2,11900
OI0000113,O000037,P0024,2,17500
OI0000114,O000037,P0051,7,13700
OI0000115,O000037,P0026,7,14600
OI0000116,O000038,P0063,4,7300
OI0000117,O000038,P0090,8,14800
OI0000118,O000038,P0015,5,28900
OI0000119,O000038,P0059,1,26900
OI0000120,O000038,P0070,3,15900
OI0000121,O000039,P0073,1,23100
OI0000122,O000039,P0077,7,10800
OI0000123,O000039,P0008,6,16800
OI0000124,O000040,P0003,7,12600
OI0000125,O000040,P0035,5,15200
OI0000126,O000041,P0052,2,28900
OI0000127,O000041,P0039,8,15800
OI0000128,O000041,P0054,4,15300
OI0000129,O000042,P0055,6,22400
OI0000130,O000043,P0062,8,12000
OI0000131,O000043,P0069,3,8000
OI0000132,O000043,P0090,7,14800
OI0000133,O000043,P0046,7,11000
OI0000134,O000044,P0026,2,14600
OI0000135,O000044,P0093,3,23000
OI0000136,O000044,P0042,6,26600
OI0000137,O000044,P0002,3,18800
OI0000138,O000044,P0059,3,26900
OI0000139,O000045,P0034,1,24900
OI0000140,O000045,P0058,3,7700
OI0000141,O000045,P0082,8,15800
OI0000142,O000045,P0082,2,15800
OI0000143,O000046,P0054,3,15300
OI0000144,O000046,P0077,7,10800
OI0000145,O000047,P0087,1,11200
OI0000146,O000047,P0048,6,22700
OI0000147,O000048,P0016,8,13800
OI0000148,O000048,P0084,8,8800
OI0000149,O000048,P0053,7,14700
OI0000150,O000048,P0046,6,11000
OI0000151,O000048,P0070,7,15900
OI0000152,O000049,P0059,7,26900
OI0000153,O000049,P0048,3,22700
OI0000154,O000050,P0049,5,18300
OI0000155,O000050,P0085,7,8600
OI0000156,O000050,P0082,5,15800
OI0000157,O000050,P0090,2,14800
OI0000158,O000051,P0079,7,28000
OI0000159,O000052,P0070,2,15900
OI0000160,O000052,P0082,8,15800
OI0000161,O000052,P0065,1,23200
OI0000162,O000052,P0086,5,15300
OI0000163,O000052,P0054,4,15300
OI0000164,O000053,P0026,8,14600
OI0000165,O000054,P0053,7,14700
OI0000166,O000054,P0001,6,12300
OI0000167,O000054,P0029,5,30000
OI0000168,O000054,P0035,5,15200
OI0000169,O000055,P0054,1,15300
OI0000170,O000056,P0067,6,24800
OI0000171,O000056,P0043,3,20300
OI0000172,O000056,P0074,7,15100
OI0000173,O000057,P0079,7,28000
OI0000174,O000057,P0007,7,16000
OI0000175,O000058,P0052,6,28900
OI0000176,O000058,P0067,3,24800
OI0000177,O000059,P0065,2,23200
OI0000178,O000059,P0081,7,12500
OI0000179,O000060,P0027,2,28700
OI0000180,O000060,P0012,1,12600
OI0000181,O000060,P0056,1,7200
OI0000182,O000061,P0011,7,7300
OI0000183,O000061,P0004,3,26300
OI0000184,O000061,P0059,6,26900
OI0000185,O000061,P0024,4,17500
OI0000186,O000061,P0084,4,8800
OI0000187,O000062,P0093,7,23000
OI0000188,O000062,P0099,5,7400
OI0000189,O000063,P0081,1,12500
OI0000190,O000063,P0082,2,15800
OI0000191,O000064,P0014,3,11900
OI0000192,O000065,P0010,8,23100
OI0000193,O000066,P0003,7,12600
OI0000194,O000066,P0010,8,23100
OI0000195,O000066,P0081,2,12500
OI0000196,O000066,P0027,7,28700
OI0000197,O000067,P0021,3,18100
OI0000198,O000067,P0039,1,15800
OI0000199,O000067,P0023,1,25600
OI0000200,O000067,P0016,6,13800
OI0000201,O000068,P0070,1,15900
OI0000202,O000068,P0021,5,18100
OI0000203,O000068,P0016,4,13800
OI0000204,O000068,P0078,1,15900
OI0000205,O000068,P0069,1,8000
OI0000206,O000069,P0047,2,19500
OI0000207,O000069,P0028,1,14800
OI0000208,O000070,P0035,5,15200
OI0000209,O000070,P0062,4,12000
OI0000210,O000071,P0060,8,9300
OI0000211,O000071,P0056,7,7200
OI0000212,O000071,P0025,5,5400
OI0000213,O000072,P0051,2,13700
OI0000214,O000072,P0075,5,27300
OI0000215,O000072,P0022,4,21200
OI0000216,O000073,P0077,5,10800
OI0000217,O000073,P0041,2,20500
OI0000218,O000073,P0078,7,15900
OI0000219,O000073,P0055,4,22400
OI0000220,O000074,P0058,3,7700
OI0000221,O000075,P0038,6,7300
OI0000222,O000075,P0051,1,13700
OI0000223,O000075,P0015,3,28900
OI0000224,O000075,P0042,7,26600
OI0000225,O000076,P0085,6,8600
OI0000226,O000076,P0048,3,22700
OI0000227,O000077,P0092,6,26800
OI0000228,O000078,P0030,2,5600
OI0000229,O000078,P0050,5,6900
OI0000230,O000078,P0078,4,15900
OI0000231,O000079,P0092,2,26800
OI0000232,O000079,P0074,7,15100
OI0000233,O000079,P0088,7,22000
OI0000234,O000080,P0064,8,19400
OI0000235,O000081,P0058,3,7700
OI0000236,O000082,P0074,1,15100
OI0000237,O000082,P0037,1,16100
OI0000238,O000083,P0017,7,12500
OI0000239,O000083,P0005,1,24300
OI0000240,O000083,P0044,1,28900
OI0000241,O000084,P0093,5,23000
OI0000242,O000084,P0036,6,19800
OI0000243,O000084,P0097,6,27000
OI0000244,O000084,P0052,2,28900
OI0000245,O000085,P0051,5,13700
OI0000246,O000086,P0048,2,22700
OI0000247,O000087,P0018,2,7200
OI0000248,O000088,P0022,2,21200
OI0000249,O000088,P0025,6,5400
OI0000250,O000089,P0034,1,24900
OI0000251,O000090,P0034,6,24900
OI0000252,O000091,P0075,8,27300
OI0000253,O000091,P0016,3,13800
OI0000254,O000092,P0082,8,15800
OI0000255,O000092,P0086,2,15300
OI0000256,O000092,P0067,4,24800
OI0000257,O000092,P0074,8,15100
OI0000258,O000093,P0029,2,30000
OI0000259,O000093,P0034,5,24900
OI0000260,O000093,P0092,2,26800
OI0000261,O000093,P0046,4,11000
OI0000262,O000094,P0008,4,16800
OI0000263,O000094,P0002,4,18800
OI0000264,O000094,P0060,7,9300
OI0000265,O000094,P0025,8,5400
OI0000266,O000095,P0098,6,5800
OI0000267,O000095,P0098,5,5800
OI0000268,O000095,P0091,8,18200
OI0000269,O000095,P0084,3,8800
OI0000270,O000095,P0065,2,23200
OI0000271,O000096,P0058,4,7700
OI0000272,O000096,P0100,7,27800
OI0000273,O000096,P0025,2,5400
OI0000274,O000096,P0036,7,19800
OI0000275,O000097,P0083,2,26000
OI0000276,O000097,P0019,8,21400
OI0000277,O000097,P0014,2,11900
OI0000278,O000097,P0031,1,6900
OI0000279,O000097,P0059,3,26900
OI0000280,O000098,P0058,6,7700
OI0000281,O000098,P0034,2,24900
OI0000282,O000098,P0071,2,19500
OI0000283,O000098,P0046,7,11000
OI0000284,O000098,P0028,3,14800
OI0000285,O000099,P0007,8,16000
OI0000286,O000099,P0035,6,15200
OI0000287,O000099,P0013,1,25800
OI0000288,O000100,P0038,4,7300
OI0000289,O000100,P0052,3,28900
OI0000290,O000101,P0067,7,24800
OI0000291,O000101,P0014,1,11900
OI0000292,O000101,P0083,4,26000
OI0000293,O000101,P0015,4,28900
OI0000294,O000102,P0035,4,15200
OI0000295,O000102,P0009,2,20100
OI0000296,O000102,P0036,4,19800
OI0000297,O000102,P0080,7,12300
OI0000298,O000102,P0051,7,13700
OI0000299,O000103,P0064,4,19400
OI0000300,O000103,P0022,4,21200
OI0000301,O000103,P0045,5,11200
OI0000302,O000104,P0024,8,17500
OI0000303,O000105,P0088,2,22000
OI0000304,O000105,P0022,3,21200
OI0000305,O000105,P0043,8,20300
OI0000306,O000106,P0043,1,20300
OI0000307,O000106,P0023,5,25600
OI0000308,O000106,P0010,3,23100
OI0000309,O000106,P0087,1,11200
OI0000310,O000107,P0001,8,12300
OI0000311,O000107,P0032,8,20900
OI0000312,O000107,P0015,1,28900
OI0000313,O000107,P0003,5,12600
OI0000314,O000107,P0030,3,5600
OI0000315,O000108,P0058,8,7700
OI0000316,O000108,P0095,6,19500
OI0000317,O000108,P0070,5,15900
OI0000318,O000109,P0046,5,11000
OI0000319,O000110,P0062,2,12000
OI0000320,O000110,P0035,1,15200
OI0000321,O000110,P0019,7,21400
OI0000322,O000110,P0029,3,30000
OI0000323,O000110,P0046,8,11000
OI0000324,O000111,P0047,4,19500
OI0000325,O000111,P0096,2,7800
OI0000326,O000111,P0025,7,5400
OI0000327,O000111,P0082,2,15800
OI0000328,O000112,P0068,3,25800
OI0000329,O000112,P0034,6,24900
OI0000330,O000112,P0043,7,20300
OI0000331,O000112,P0076,7,18300
OI0000332,O000113,P0067,6,24800
OI0000333,O000113,P0079,2,28000
OI0000334,O000113,P0056,8,7200
OI0000335,O000113,P0073,6,23100
OI0000336,O000113,P0037,2,16100
OI0000337,O000114,P0060,3,9300
OI0000338,O000114,P0067,5,24800
OI0000339,O000115,P0037,2,16100
OI0000340,O000115,P0038,1,7300
OI0000341,O000115,P0059,1,26900
OI0000342,O000115,P0028,5,14800
OI0000343,O000116,P0001,7,12300
OI0000344,O000116,P0046,1,11000
OI0000345,O000116,P0007,5,16000
OI0000346,O000117,P0086,3,15300
OI0000347,O000117,P0012,5,12600
OI0000348,O000117,P0019,4,21400
OI0000349,O000117,P0056,2,7200
OI0000350,O000117,P0038,4,7300
OI0000351,O000118,P0087,7,11200
OI0000352,O000118,P0055,7,22400
OI0000353,O000119,P0040,3,20900
OI0000354,O000119,P0073,7,23100
OI0000355,O000119,P0087,6,11200
OI0000356,O000119,P0075,3,27300
OI0000357,O000119,P0088,4,22000
OI0000358,O000120,P0039,5,15800
OI0000359,O000120,P0011,5,7300
OI0000360,O000121,P0049,7,18300
OI0000361,O000121,P0013,3,25800
OI0000362,O000122,P0088,6,22000
OI0000363,O000122,P0060,6,9300
OI0000364,O000122,P0055,8,22400
OI0000365,O000122,P0054,7,15300
OI0000366,O000122,P0060,1,9300
OI0000367,O000123,P0012,3,12600
OI0000368,O000123,P0079,5,28000
OI0000369,O000123,P0032,6,20900
OI0000370,O000123,P0017,5,12500
OI0000371,O000124,P0060,8,9300
OI0000372,O000125,P0043,2,20300
OI0000373,O000126,P0008,2,16800
OI0000374,O000126,P0095,1,19500
OI0000375,O000126,P0090,4,14800
OI0000376,O000127,P0018,4,7200
OI0000377,O000127,P0087,3,11200
OI0000378,O000127,P0039,5,15800
OI0000379,O000127,P0093,1,23000
OI0000380,O000128,P0009,1,20100
OI0000381,O000129,P0013,4,25800
OI0000382,O000129,P0027,2,28700
OI0000383,O000129,P0061,1,5300
OI0000384,O000129,P0065,8,23200
OI0000385,O000129,P0051,1,13700
OI0000386,O000130,P0031,5,6900
OI0000387,O000130,P0079,8,28000
OI0000388,O000131,P0024,3,17500
OI0000389,O000132,P0026,8,14600
OI0000390,O000132,P0062,5,12000
OI0000391,O000132,P0038,2,7300
OI0000392,O000132,P0076,8,18300
OI0000393,O000132,P0048,5,22700
OI0000394,O000133,P0060,7,9300
OI0000395,O000134,P0016,7,13800
OI0000396,O000134,P0002,5,18800
OI0000397,O000134,P0005,8,24300
OI0000398,O000134,P0006,6,18800
OI0000399,O000135,P0036,1,19800
OI0000400,O000135,P0021,6,18100
OI0000401,O000135,P0065,4,23200
OI0000402,O000135,P0045,7,11200
OI0000403,O000136,P0046,6,11000
OI0000404,O000136,P0059,3,26900
OI0000405,O000137,P0009,8,20100
OI0000406,O000137,P0049,8,18300
OI0000407,O000137,P0078,3,15900
OI0000408,O000137,P0074,5,15100
OI0000409,O000138,P0045,7,11200
OI0000410,O000138,P0009,1,20100
OI0000411,O000138,P0004,3,26300
OI0000412,O000138,P0030,2,5600
OI0000413,O000138,P0086,2,15300
OI0000414,O000139,P0099,4,7400
OI0000415,O000139,P0014,3,11900
OI0000416,O000140,P0079,5,28000
OI0000417,O000141,P0057,6,8900
OI0000418,O000142,P0042,2,26600
OI0000419,O000142,P0090,8,14800
OI0000420,O000143,P0072,4,7500
OI0000421,O000143,P0026,5,14600
OI0000422,O000143,P0063,8,7300
OI0000423,O000143,P0087,5,11200
OI0000424,O000143,P0029,4,30000
OI0000425,O000144,P0012,1,12600
OI0000426,O000144,P0081,2,12500
OI0000427,O000145,P0047,7,19500
OI0000428,O000146,P0024,8,17500
OI0000429,O000146,P0025,4,5400
OI0000430,O000146,P0074,8,15100
OI0000431,O000147,P0018,2,7200
OI0000432,O000147,P0057,7,8900
OI0000433,O000147,P0081,7,12500
OI0000434,O000147,P0010,2,23100
OI0000435,O000147,P0017,5,12500
OI0000436,O000148,P0077,6,10800
OI0000437,O000149,P0033,7,20600
OI0000438,O000149,P0091,6,18200
OI0000439,O000149,P0009,3,20100
OI0000440,O000150,P0067,5,24800
OI0000441,O000150,P0052,1,28900
OI0000442,O000151,P0061,5,5300
