order_id,customer_id,channel,order_date,total_amount,status
O000001,C01998,直営店,2024-08-05,97100,完了
O000002,C00841,販売代理店,2022-09-07,111300,キャンセル
O000003,C02895,販売代理店,2022-05-27,241000,完了
O000004,C02928,直営店,2023-07-20,39000,完了
O000005,C00356,販売代理店,2024-04-30,313600,完了
O000006,C02352,ECサイト,2022-07-22,203100,キャンセル
O000007,C01201,ECサイト,2024-01-30,425400,完了
O000008,C01186,直営店,2024-07-20,188500,完了
O000009,C04049,ECサイト,2022-09-14,328500,完了
O000010,C04414,販売代理店,2023-02-02,264500,完了
O000011,C00024,直営店,2025-03-18,156000,処理中
O000012,C01095,直営店,2023-07-27,266700,完了
O000013,C01987,直営店,2025-02-16,23400,完了
O000014,C00961,販売代理店,2023-08-19,175000,完了
O000015,C04765,直営店,2022-07-16,362700,完了
O000016,C01227,直営店,2023-07-10,76100,完了
O000017,C02764,ECサイト,2024-08-10,32200,完了
O000018,C01278,直営店,2022-04-24,47700,キャンセル
O000019,C04123,直営店,2024-05-03,421800,完了
O000020,C03471,直営店,2023-02-14,173600,完了
O000021,C01026,販売代理店,2022-05-20,254300,完了
O000022,C03319,ECサイト,2024-01-31,232800,完了
O000023,C00638,ECサイト,2022-06-20,185300,完了
O000024,C00536,直営店,2024-11-23,71900,完了
O000025,C00697,販売代理店,2023-02-14,418800,完了
O000026,C03262,販売代理店,2023-09-10,344100,完了
O000027,C04114,直営店,2024-01-02,125300,完了
O000028,C01898,直営店,2022-10-10,161400,完了
O000029,C03666,直営店,2022-09-16,245300,完了
O000030,C04972,直営店,2022-12-28,310600,処理中
O000031,C03726,ECサイト,2022-04-28,177000,完了
O000032,C00583,直営店,2023-09-14,500800,完了
O000033,C00325,ECサイト,2023-06-16,195700,キャンセル
O000034,C03385,販売代理店,2024-12-12,12300,完了
O000035,C02006,販売代理店,2022-06-05,19200,完了
O000036,C02382,ECサイト,2024-07-16,267800,完了
O000037,C03838,販売代理店,2024-12-07,256900,完了
O000038,C02693,直営店,2022-07-21,366700,完了
O000039,C03850,直営店,2024-02-23,199500,完了
O000040,C03524,ECサイト,2024-11-05,164200,完了
O000041,C01443,直営店,2024-11-23,245400,完了
O000042,C02126,直営店,2022-05-15,134400,完了
O000043,C02433,直営店,2023-07-28,300600,完了
O000044,C00082,販売代理店,2022-12-20,394900,完了
O000045,C04092,ECサイト,2023-07-26,206000,完了
O000046,C00299,直営店,2022-09-04,121500,完了
O000047,C01771,ECサイト,2022-08-28,147400,完了
O000048,C00133,ECサイト,2023-04-15,461000,キャンセル
O000049,C04286,ECサイト,2023-08-27,256400,完了
O000050,C04529,販売代理店,2023-10-03,260300,完了
O000051,C00718,直営店,2022-10-15,196000,完了
O000052,C00850,ECサイト,2024-12-14,319100,完了
O000053,C01826,ECサイト,2022-12-20,116800,完了
O000054,C01020,ECサイト,2024-12-11,402700,処理中
O000055,C02519,ECサイト,2023-05-21,15300,完了
O000056,C00128,直営店,2024-07-18,315400,完了
O000057,C01982,販売代理店,2024-07-30,308000,処理中
O000058,C01056,販売代理店,2022-03-31,247800,完了
O000059,C03584,直営店,2024-01-04,133900,完了
O000060,C02132,販売代理店,2023-03-25,77200,完了
O000061,C04861,直営店,2022-08-15,396600,完了
O000062,C02433,直営店,2025-03-08,198000,完了
O000063,C00424,ECサイト,2024-03-15,44100,完了
O000064,C00909,ECサイト,2023-05-30,35700,処理中
O000065,C02314,ECサイト,2023-05-08,184800,キャンセル
O000066,C02961,直営店,2022-06-03,498900,完了
O000067,C03075,ECサイト,2024-08-09,178500,完了
O000068,C02841,ECサイト,2022-12-05,185500,処理中
O000069,C04244,販売代理店,2024-02-26,53800,完了
O000070,C02684,直営店,2023-08-25,124000,完了
O000071,C00754,ECサイト,2023-10-13,151800,完了
O000072,C01417,直営店,2022-06-17,248700,完了
O000073,C03997,ECサイト,2023-06-03,295900,キャンセル
O000074,C04647,ECサイト,2024-01-15,23100,完了
O000075,C00277,販売代理店,2022-04-10,330400,完了
O000076,C01524,ECサイト,2024-09-16,119700,完了
O000077,C02576,直営店,2024-10-05,160800,完了
O000078,C01752,ECサイト,2022-12-15,109300,完了
O000079,C04320,直営店,2022-07-28,313300,完了
O000080,C02604,ECサイト,2025-03-19,155200,完了
O000081,C00384,ECサイト,2025-01-04,23100,完了
O000082,C04927,ECサイト,2022-12-23,31200,完了
O000083,C04717,直営店,2022-11-29,140700,処理中
O000084,C00569,ECサイト,2024-10-24,453600,完了
O000085,C04559,ECサイト,2022-10-19,68500,完了
O000086,C03724,ECサイト,2024-06-12,45400,完了
O000087,C00240,直営店,2025-02-23,14400,完了
O000088,C02645,販売代理店,2023-12-03,74800,完了
O000089,C04404,直営店,2023-04-06,24900,処理中
O000090,C00908,直営店,2024-05-28,149400,処理中
O000091,C03110,ECサイト,2022-04-08,259800,完了
O000092,C02616,直営店,2023-08-28,377000,完了
O000093,C04015,ECサイト,2023-12-15,282100,完了
O000094,C01687,販売代理店,2022-07-21,250700,完了
O000095,C00857,ECサイト,2024-06-11,282200,完了
O000096,C01066,直営店,2024-09-04,374800,処理中
O000097,C01346,販売代理店,2024-09-15,334600,完了
O000098,C02186,直営店,2023-11-08,256400,完了
O000099,C03252,販売代理店,2024-07-14,245000,完了
O000100,C03134,販売代理店,2022-08-18,115900,処理中
O000101,C04867,ECサイト,2022-08-24,405100,完了
O000102,C00944,直営店,2023-12-17,362200,キャンセル
O000103,C00830,直営店,2022-04-18,218400,完了
O000104,C04885,ECサイト,2022-04-19,140000,完了
O000105,C02502,販売代理店,2025-03-20,270000,完了
O000106,C01162,直営店,2022-05-23,228800,完了
O000107,C04867,ECサイト,2022-11-09,374300,処理中
O000108,C01201,直営店,2023-05-28,258100,完了
O000109,C03986,ECサイト,2024-07-29,55000,完了
O000110,C02734,販売代理店,2024-03-28,367000,完了
O000111,C00254,直営店,2024-09-17,163000,完了
O000112,C02244,販売代理店,2022-11-01,497000,完了
O000113,C02264,ECサイト,2022-10-15,433200,完了
O000114,C00069,ECサイト,2022-12-31,151900,処理中
O000115,C04573,販売代理店,2024-02-10,140400,完了
O000116,C04859,直営店,2023-11-24,177100,完了
O000117,C01129,ECサイト,2024-01-25,238100,キャンセル
O000118,C00264,ECサイト,2024-09-28,235200,処理中
O000119,C00804,ECサイト,2022-09-23,461500,処理中
O000120,C02049,直営店,2024-11-16,115500,完了
O000121,C04643,販売代理店,2024-12-27,205500,完了
O000122,C04314,ECサイト,2024-07-07,483400,完了
O000123,C04579,直営店,2025-03-24,365700,処理中
O000124,C00439,ECサイト,2022-09-15,74400,完了
O000125,C00446,直営店,2024-02-05,40600,完了
O000126,C02381,販売代理店,2023-10-02,112300,完了
